ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"gene-Uty"	"Uty"	chrNC_000087.8	-	1136274	1136996	1136847	1136996	1134871	1134986	2	6,1,3,0	20,26,20,3	0,0,0,0	0,0,28,0	298	149	0.110757869943039	0.524576173392458	0.13,0.019,0.07,0.0	NA,NA,0.0,NA	0.055
4	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017102	1016990	1017095	1017363	1017508	4	9,25,22,1	3,13,12,0	0,0,17,0	0,0,10,0	156	149	0.825321540596846	0.999202115572178	0.741,0.647,0.637,1.0	NA,NA,0.619,NA	0.137
5	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1034961	1035192	1034961	1035028	1046771	1049136	5	16,17,15,7	18,36,17,0	0,0,16,0	0,0,19,0	298	149	0.864273475985072	0.999202115572178	0.308,0.191,0.306,1.0	NA,NA,0.296,NA	0.155
6	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099991	168100143	168098597	168098717	6	48,39,38,38	1,0,0,1	53,40,32,59	0,0,0,1	298	149	0.550139014266066	0.878085701778546	0.96,1.0,1.0,0.95	1.0,1.0,1.0,0.967	-0.014
7	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103110	168103361	168102433	168102511	7	9,27,21,16	0,0,2,0	21,6,14,15	0,0,0,0	288	149	0.311598834256702	0.724612444383287	1.0,1.0,0.845,1.0	1.0,1.0,1.0,1.0	-0.039
10	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168102971	168103361	168102433	168102586	10	0,2,0,2	10,21,19,15	2,3,2,3	17,25,13,21	298	149	0.186739520120382	0.613291897658516	0.0,0.045,0.0,0.062	0.056,0.057,0.071,0.067	-0.036
11	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168103110	168103361	168102433	168102586	11	9,29,21,18	17,16,16,8	22,7,16,17	14,5,15,11	298	149	0.999202115572178	0.999202115572178	0.209,0.475,0.396,0.529	0.44,0.412,0.348,0.436	-0.007
12	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168103170	168103361	168102433	168102586	12	12,31,38,25	14,3,3,4	38,20,20,29	11,2,8,5	298	149	0.839078446694381	0.999202115572178	0.3,0.838,0.864,0.758	0.633,0.833,0.556,0.744	-0.002
13	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103110	168103361	168102433	168102586	13	19,48,40,31	17,16,16,8	38,31,27,36	14,5,15,11	288	149	0.356313564457008	0.745467094050876	0.366,0.608,0.564,0.667	0.584,0.762,0.482,0.629	-0.063
14	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103170	168103361	168102433	168102586	14	22,50,57,38	14,3,3,4	54,44,31,48	11,2,8,5	298	149	0.999202115572178	0.999202115572178	0.44,0.893,0.905,0.826	0.711,0.917,0.66,0.828	-0.013
15	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168103110	168103361	168103170	168103361	168102433	168102586	15	25,30,41,21	14,3,3,4	35,18,26,31	11,2,8,5	209	149	0.600501654977405	0.90979885402239	0.56,0.877,0.907,0.789	0.694,0.865,0.699,0.816	0.015
16	"gene-Prps2"	"Prps2"	chrNC_000086.8	-	166156989	166157182	166156998	166157182	166148114	166148213	16	3,1,3,2	29,26,20,19	1,2,5,4	11,15,22,18	158	149	0.137474336640027	0.554627756275466	0.089,0.035,0.124,0.09	0.079,0.112,0.176,0.173	-0.051
17	"gene-Prps2"	"Prps2"	chrNC_000086.8	-	166156989	166157182	166156998	166157182	166150379	166155578	17	0,1,0,0	1,1,0,0	0,0,2,0	2,1,1,0	158	149	0.214138637781824	0.648453484119367	0.0,0.485,NA,NA	0.0,0.0,0.654,NA	0.024
18	"gene-Tlr7"	"Tlr7"	chrNC_000086.8	-	166113396	166113567	166113432	166113567	166112996	166113095	18	2,0,0,0	0,0,0,1	0,0,0,0	1,1,1,0	185	149	0.0609206406385056	0.441560284511379	1.0,NA,NA,0.0	0.0,0.0,0.0,NA	0.5
25	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165191584	165191696	165191637	165191696	165188992	165189604	25	37,37,39,27	0,0,0,0	37,32,59,48	0,1,4,2	202	149	0.000221732736757629	0.0983109732850771	1.0,1.0,1.0,1.0	1.0,0.959,0.916,0.947	0.044
26	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164109797	164110407	164110159	164110407	164107496	164107630	26	209,183,175,209	2,4,2,1	141,164,132,155	2,2,5,2	298	149	0.288409080694331	0.710835567681291	0.981,0.958,0.978,0.991	0.972,0.976,0.93,0.975	0.014
27	"gene-Fancb"	"Fancb"	chrNC_000086.8	+	163778339	163778767	163778339	163778418	163778882	163779117	27	8,21,19,9	1,0,0,0	16,7,13,21	0,3,2,1	298	149	0.120694250825526	0.531165256170528	0.8,1.0,1.0,1.0	1.0,0.538,0.765,0.913	0.146
28	"gene-Piga"	"Piga"	chrNC_000086.8	+	163205579	163206359	163205579	163205982	163210927	163211060	28	22,16,20,20	3,2,0,2	13,10,10,8	0,3,6,4	298	149	0.141652862201606	0.55855536185657	0.786,0.8,1.0,0.833	1.0,0.625,0.455,0.5	0.21
29	"gene-Siah1b"	"Siah1b"	chrNC_000086.8	-	162859010	162859131	162859110	162859131	162858573	162858665	29	0,0,1,0	1,1,1,0	1,0,1,0	3,1,0,0	249	149	0.999202115572178	0.999202115572178	0.0,0.0,0.374,NA	0.166,0.0,1.0,NA	-0.264
30	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161684555	161684910	161684555	161684743	161685567	161685672	30	19,19,17,17	2,0,0,1	24,13,14,20	0,0,3,0	298	149	0.477805410885523	0.832241664738496	0.826,1.0,1.0,0.895	1.0,1.0,0.7,1.0	0.005
31	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161684590	161684910	161684590	161684835	161686429	161686634	31	33,38,29,23	1,0,0,0	33,27,22,30	0,0,0,1	224	149	0.926190808969399	0.999202115572178	0.956,1.0,1.0,1.0	1.0,1.0,1.0,0.952	0.001
32	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161684556	161684910	161684556	161684743	161693004	161693175	32	19,16,16,16	10,1,4,6	25,14,21,25	1,2,6,3	298	149	0.0735772121871764	0.461042815780399	0.487,0.889,0.667,0.571	0.926,0.778,0.636,0.806	-0.133
33	"gene-Ctps2"	"Ctps2"	chrNC_000086.8	+	161696203	161696471	161696203	161696304	161704194	161704311	33	1,5,7,0	71,70,70,93	3,5,6,2	70,69,89,69	298	149	0.305701366686649	0.721655685293072	0.007,0.034,0.048,0.0	0.021,0.035,0.033,0.014	-0.004
34	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285157	159285900	159285157	159285288	159306267	159306426	34	26,26,13,23	1,0,2,0	25,16,18,17	0,2,0,2	298	149	0.728596257114224	0.980679594832599	0.929,1.0,0.765,1.0	1.0,0.8,1.0,0.81	0.021
35	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159369774	159369950	159369774	159369945	159371960	159372014	35	2,0,0,5	19,18,32,23	5,4,5,7	24,31,17,34	154	149	0.0263026277789307	0.36676736835872	0.092,0.0,0.0,0.174	0.168,0.111,0.222,0.166	-0.1
36	"gene-Adgrg2"	"Adgrg2"	chrNC_000086.8	+	159241830	159241878	159241830	159241869	159244338	159244377	36	0,0,0,0	0,2,0,0	0,2,0,1	0,0,0,0	158	149	0.0580203712760923	0.441560284511379	NA,0.0,NA,NA	NA,1.0,NA,1.0	-1.0
37	"gene-Klf8"	"Klf8"	chrNC_000086.8	+	152142837	152142960	152142837	152142899	152143291	152143479	37	2,3,2,7	0,0,0,4	2,1,2,8	2,0,0,1	210	149	0.999202115572178	0.999202115572178	1.0,1.0,1.0,0.554	0.415,1.0,1.0,0.85	0.072
38	"gene-Kantr"	"Kantr"	chrNC_000086.8	-	151110361	151110489	151110405	151110489	151110156	151110235	38	30,14,11,16	6,6,3,3	22,15,18,11	2,0,2,3	193	149	0.0430896931619466	0.419873131900937	0.794,0.643,0.739,0.805	0.895,1.0,0.874,0.739	-0.132
39	"gene-Kdm5c"	"Kdm5c"	chrNC_000086.8	+	151054855	151054934	151054855	151054925	151055070	151055270	39	33,27,38,37	79,78,75,99	54,50,34,44	103,105,60,118	158	149	0.271921599432946	0.700450183195236	0.283,0.246,0.323,0.261	0.331,0.31,0.348,0.26	-0.034
