ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850045	90851255	90850045	90850655	90851645	90851805	0	0,0,0,1	0,0,1,0	0,0,0,0	0,0,1,0	749	149	0.999202115572178	0.999202115572178	NA,NA,0.0,1.0	NA,NA,0.0,NA	0.5
1	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1263569	1263700	1263569	1263697	1263795	1263949	1	60,48,41,8	37,21,34,4	0,0,36,0	0,0,25,0	152	149	0.50455730859791	0.847080582011561	0.614,0.691,0.542,0.662	NA,NA,0.585,NA	0.042
2	"gene-Ddx3y"	"Ddx3y"	chrNC_000087.8	-	1282900	1282968	1282900	1282948	1284321	1284382	2	3,0,2,0	31,52,39,10	0,0,3,0	0,0,28,0	169	149	0.277579297999082	0.727509670746588	0.079,0.0,0.043,0.0	NA,NA,0.086,NA	-0.055
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1115243	1120805	1115243	1120802	1129869	1130011	3	2,0,0,0	1,0,1,0	0,0,1,0	0,0,3,0	152	149	0.034573517150121	0.438084227668309	0.662,NA,0.0,NA	NA,NA,0.246,NA	0.085
4	"gene-Uty"	"Uty"	chrNC_000087.8	-	1170903	1171002	1170903	1170954	1174727	1174854	4	22,18,26,8	0,1,3,0	0,0,7,0	0,0,0,0	197	149	0.222978852140392	0.686650815947095	1.0,0.932,0.868,1.0	NA,NA,1.0,NA	-0.05
5	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245155	1245219	1245155	1245216	1245406	1245512	5	10,20,28,4	2,2,0,0	0,0,11,0	0,0,1,0	152	149	0.0226920938990396	0.393324236285414	0.831,0.907,1.0,1.0	NA,NA,0.915,NA	0.019
6	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017508	1017363	1017508	1016589	1016684	6	79,119,99,12	120,134,91,18	0,2,119,0	0,0,109,0	522	149	0.414404750638032	0.794701655646259	0.158,0.202,0.237,0.16	NA,1.0,0.238,NA	-0.43
7	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	910656	910849	910685	910849	910447	910586	7	4,2,2,2	49,47,33,6	0,0,2,0	0,0,42,1	178	149	0.373639920950835	0.771631119845512	0.064,0.034,0.048,0.218	NA,NA,0.038,0.0	0.072
8	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	927212	927439	927244	927439	927006	927126	8	6,2,1,0	34,30,46,5	0,0,2,0	0,0,41,1	181	149	0.400222209528181	0.787438071683162	0.127,0.052,0.018,0.0	NA,NA,0.039,0.0	0.03
9	"gene-Kdm5d"	"Kdm5d"	chrNC_000087.8	+	927602	927891	927709	927891	927244	927439	9	43,53,25,8	17,20,19,3	0,0,28,0	0,0,17,0	256	149	0.46607684857413	0.826042156565664	0.596,0.607,0.434,0.608	NA,NA,0.489,NA	0.072
11	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168105997	168106097	168106000	168106097	168104750	168105838	11	15,11,9,10	6,6,9,7	6,9,14,12	3,4,6,7	152	149	0.475208502681618	0.831666717325381	0.71,0.642,0.495,0.583	0.662,0.688,0.696,0.627	-0.061
12	"gene-Gm15246"	"Gm15246"	chrNC_000086.8	+	168113693	168113775	168113709	168113775	168105997	168106097	12	20,32,20,11	0,0,0,1	9,13,26,20	0,2,2,0	165	149	0.145748019515991	0.614363245313135	1.0,1.0,1.0,0.909	1.0,0.854,0.922,1.0	0.033
