ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"gene-Uty"	"Uty"	chrNC_000087.8	-	1136274	1136996	1136847	1136996	1134871	1134986	2	3,1,6,0	20,26,20,3	0,0,0,0	0,0,28,0	78	39	0.0975854927010348	0.501119277957263	0.07,0.019,0.13,0.0	NA,NA,0.0,NA	0.055
4	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017102	1016990	1017095	1017363	1017508	4	22,25,9,1	12,13,3,0	0,0,17,0	0,0,10,0	46	39	0.192567905535253	0.623265474816035	0.609,0.62,0.718,1.0	NA,NA,0.59,NA	0.147
5	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1034961	1035192	1034961	1035028	1046771	1049136	5	15,17,16,7	17,36,18,0	0,0,16,0	0,0,19,0	78	39	0.845688547576867	0.999202115572178	0.306,0.191,0.308,1.0	NA,NA,0.296,NA	0.155
6	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099991	168100143	168098597	168098717	6	38,39,48,38	0,0,1,1	59,40,32,53	1,0,0,0	78	39	0.55437413057883	0.879607810526426	1.0,1.0,0.96,0.95	0.967,1.0,1.0,1.0	-0.014
7	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103110	168103361	168102433	168102511	7	21,27,9,16	2,0,0,0	15,6,14,21	0,0,0,0	78	39	0.325654100271134	0.741624784244438	0.84,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.04
10	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168102971	168103361	168102433	168102586	10	0,2,0,2	19,21,10,15	3,3,2,2	21,25,13,17	78	39	0.146478784093363	0.572184705597072	0.0,0.045,0.0,0.062	0.067,0.057,0.071,0.056	-0.036
11	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168103110	168103361	168102433	168102586	11	21,29,9,18	16,16,17,8	17,7,16,22	11,5,15,14	78	39	0.883146681081987	0.999202115572178	0.396,0.475,0.209,0.529	0.436,0.412,0.348,0.44	-0.007
12	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168103170	168103361	168102433	168102586	12	38,31,12,25	3,3,14,4	29,20,20,38	5,2,8,11	78	39	0.913669105991383	0.999202115572178	0.864,0.838,0.3,0.758	0.744,0.833,0.556,0.633	-0.002
13	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103110	168103361	168102433	168102586	13	40,48,19,31	16,16,17,8	36,31,27,38	11,5,15,14	78	39	0.31100553762947	0.738318086006377	0.556,0.6,0.358,0.66	0.621,0.756,0.474,0.576	-0.063
14	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103170	168103361	168102433	168102586	14	57,50,22,38	3,3,14,4	48,44,31,54	5,2,8,11	78	39	0.999202115572178	0.999202115572178	0.905,0.893,0.44,0.826	0.828,0.917,0.66,0.711	-0.013
15	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168103110	168103361	168103170	168103361	168102433	168102586	15	41,30,25,21	3,3,14,4	31,18,26,35	5,2,8,11	78	39	0.587477673877388	0.900474320992388	0.872,0.833,0.472,0.724	0.756,0.818,0.619,0.614	0.024
16	"gene-Prps2"	"Prps2"	chrNC_000086.8	-	166156989	166157182	166156998	166157182	166148114	166148213	16	3,1,3,2	20,26,29,19	4,2,5,1	18,15,22,11	48	39	0.132059512982716	0.560132485281765	0.109,0.03,0.078,0.079	0.153,0.098,0.156,0.069	-0.045
17	"gene-Prps2"	"Prps2"	chrNC_000086.8	-	166156989	166157182	166156998	166157182	166150379	166155578	17	0,1,0,0	0,1,1,0	0,0,2,0	0,1,1,2	48	39	0.439841987582511	0.804891905118931	NA,0.448,0.0,NA	NA,0.0,0.619,0.0	0.018
18	"gene-Tlr7"	"Tlr7"	chrNC_000086.8	-	166113396	166113567	166113432	166113567	166112996	166113095	18	0,0,2,0	0,0,0,1	0,0,0,0	0,1,1,1	75	39	0.0677826280727819	0.454743004102818	NA,NA,1.0,0.0	NA,0.0,0.0,0.0	0.5
25	"gene-Ofd1"	"Ofd1"	chrNC_000086.8	-	165191584	165191696	165191637	165191696	165188992	165189604	25	39,37,37,27	0,0,0,0	48,32,59,37	2,1,4,0	78	39	0.000322925006386976	0.177031213755815	1.0,1.0,1.0,1.0	0.923,0.941,0.881,1.0	0.064
26	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164109797	164110407	164110159	164110407	164107496	164107630	26	175,183,209,209	2,4,2,1	155,164,132,141	2,2,5,2	78	39	0.275575793877437	0.711283480726302	0.978,0.958,0.981,0.991	0.975,0.976,0.93,0.972	0.014
27	"gene-Fancb"	"Fancb"	chrNC_000086.8	+	163778339	163778767	163778339	163778418	163778882	163779117	27	19,21,8,9	0,0,1,0	21,7,13,16	1,3,2,0	78	39	0.152359566397116	0.574970262405757	1.0,1.0,0.8,1.0	0.913,0.538,0.765,1.0	0.146
28	"gene-Piga"	"Piga"	chrNC_000086.8	+	163205579	163206359	163205579	163205982	163210927	163211060	28	20,16,22,20	0,2,3,2	8,10,10,13	4,3,6,0	78	39	0.147454247459602	0.57220320120341	1.0,0.8,0.786,0.833	0.5,0.625,0.455,1.0	0.21
