ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
26	"gene-Glra2"	"Glra2"	chrNC_000086.8	-	164109797	164110407	164110159	164110407	164107496	164107630
34	"gene-Phka2"	"Phka2"	chrNC_000086.8	+	159285157	159285900	159285157	159285288	159306267	159306426
41	"gene-Wnk3"	"Wnk3"	chrNC_000086.8	+	149952479	149952955	149952479	149952708	149953823	149953876
42	"gene-Wnk3"	"Wnk3"	chrNC_000086.8	+	149952479	149952955	149952479	149952708	149954641	149954762
59	"gene-Zcchc18"	"Zcchc18"	chrNC_000086.8	+	135893895	135894153	135893895	135894101	135894679	135894819
70	"gene-Armcx6"	"Armcx6"	chrNC_000086.8	-	133651689	133652116	133652078	133652116	133649203	133650974
123	"gene-Pnck"	"Pnck"	chrNC_000086.8	-	72700836	72701119	72701043	72701119	72700676	72700755
124	"gene-Pnck"	"Pnck"	chrNC_000086.8	-	72703272	72703460	72703332	72703460	72702293	72702425
148	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70599522	70599843	70599522	70599614	70601662	70601813
149	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70599522	70599843	70599522	70599796	70601662	70601813
150	"gene-Hmgb3"	"Hmgb3"	chrNC_000086.8	+	70599522	70599796	70599522	70599614	70601726	70601813
156	"gene-Slc35e2"	"Slc35e2"	chrNC_000070.7	+	155685872	155686619	155685872	155686195	155687076	155687345
170	"gene-Slc7a6"	"Slc7a6"	chrNC_000074.7	+	106905733	106906292	106905733	106905919	106916248	106916374
176	"gene-Pard6a"	"Pard6a"	chrNC_000074.7	+	106428805	106429028	106428805	106428938	106429242	106430126
183	"gene-Miat"	"Miat"	chrNC_000071.7	-	112376166	112376222	112376174	112376222	112368790	112369740
184	"gene-Miat"	"Miat"	chrNC_000071.7	-	112376166	112376222	112376174	112376222	112372073	112372222
185	"gene-Miat"	"Miat"	chrNC_000071.7	-	112376166	112376222	112376174	112376222	112375920	112376044
186	"gene-Miat"	"Miat"	chrNC_000071.7	-	112376166	112376222	112376174	112376222	112375920	112376080
199	"gene-Gm26843"	"Gm26843"	chrNC_000074.7	-	94426937	94431950	94430128	94431950	94414515	94414586
211	"gene-Lyl1"	"Lyl1"	chrNC_000074.7	+	85429268	85429624	85429268	85429319	85429715	85429807
232	"gene-Fcho1"	"Fcho1"	chrNC_000074.7	-	72167522	72167571	72167526	72167571	72166915	72166940
236	"gene-Myo9b"	"Myo9b"	chrNC_000074.7	+	71787053	71789861	71787053	71789609	71795405	71795528
255	"gene-Gm31726"	"Gm31726"	chrNC_000074.7	-	9199763	9202720	9202049	9202720	9198010	9198098
270	"gene-Ssr2"	"Ssr2"	chrNC_000069.7	+	88488280	88488379	88488280	88488345	88491106	88491192
279	"gene-Tusc3"	"Tusc3"	chrNC_000074.7	+	39593682	39593776	39593682	39593746	39597896	39597971
293	"gene-Zfyve1"	"Zfyve1"	chrNC_000078.7	-	83643518	83643944	83643770	83643944	83641171	83642092
296	"gene-Letm2"	"Letm2"	chrNC_000074.7	-	26086979	26087763	26087290	26087763	26083734	26084182
305	"gene-Golga7"	"Golga7"	chrNC_000074.7	-	23746689	23747096	23747035	23747096	23740264	23740417
342	"gene-Shank2"	"Shank2"	chrNC_000073.7	+	143960857	143960969	143960857	143960942	143974295	143979780
364	"gene-Septin1"	"Septin1"	chrNC_000073.7	-	126816790	126817229	126817142	126817229	126816072	126816207
378	"gene-Prss36"	"Prss36"	chrNC_000073.7	-	127533561	127533795	127533681	127533795	127531809	127532286
411	"gene-Ino80e"	"Ino80e"	chrNC_000073.7	-	126456774	126456894	126456847	126456894	126450755	126452163
428	"gene-Mettl9"	"Mettl9"	chrNC_000073.7	+	120633781	120634198	120633781	120634128	120651309	120651519
444	"gene-Cops7a"	"Cops7a"	chrNC_000072.7	-	124942247	124942475	124942364	124942475	124939320	124939409
445	"gene-Cops7a"	"Cops7a"	chrNC_000072.7	-	124942247	124942475	124942364	124942475	124939584	124939660
453	"gene-Kcna6"	"Kcna6"	chrNC_000072.7	-	126712177	126717610	126714243	126717610	126704442	126704548
470	"gene-Timm10b"	"Timm10b"	chrNC_000073.7	+	105290234	105290435	105290234	105290367	105304828	105304955
489	"gene-Btf3l4"	"Btf3l4"	chrNC_000070.7	-	108690339	108690770	108690704	108690770	108689609	108689648
507	"gene-Stim1"	"Stim1"	chrNC_000073.7	+	102080091	102080482	102080091	102080158	102082403	102082440
530	"gene-Trmt6"	"Trmt6"	chrNC_000068.8	-	132657550	132657974	132657723	132657974	132652908	132653018
549	"gene-Zfand6"	"Zfand6"	chrNC_000073.7	-	84328517	84328604	84328551	84328604	84302089	84302250
560	"gene-Unc45a"	"Unc45a"	chrNC_000073.7	-	79989816	79990265	79989861	79990265	79989061	79989098
583	"gene-Trim3"	"Trim3"	chrNC_000073.7	-	105268589	105268821	105268594	105268821	105268265	105268435
621	"gene-Cpt1c"	"Cpt1c"	chrNC_000073.7	-	44614507	44614990	44614794	44614990	44613327	44613433
623	"gene-Cpt1c"	"Cpt1c"	chrNC_000073.7	-	44624018	44624275	44624020	44624275	44622433	44622573
635	"gene-Kcnc3"	"Kcnc3"	chrNC_000073.7	+	44250097	44250352	44250097	44250219	44251292	44254175
640	"gene-Sema4c"	"Sema4c"	chrNC_000067.7	-	36595249	36595862	36595577	36595862	36595012	36595158
674	"gene-Zfp536"	"Zfp536"	chrNC_000073.7	-	37470009	37470280	37470064	37470280	37469020	37469061
681	"gene-Gm16525"	"Gm16525"	chrNC_000080.7	+	15224960	15225355	15224960	15225175	15230935	15231086
702	"gene-Nckap5l"	"Nckap5l"	chrNC_000081.7	-	99333907	99333968	99333925	99333968	99331920	99332145
703	"gene-Nckap5l"	"Nckap5l"	chrNC_000081.7	-	99333907	99333968	99333925	99333968	99331920	99332150
730	"gene-Tmem145"	"Tmem145"	chrNC_000073.7	+	25008187	25008497	25008187	25008266	25009031	25009204
731	"gene-Pafah1b3"	"Pafah1b3"	chrNC_000073.7	-	24996796	24997377	24997267	24997377	24996510	24996600
732	"gene-Kansl2"	"Kansl2"	chrNC_000081.7	-	98420505	98422593	98422339	98422593	98418198	98418306
733	"gene-Kansl2"	"Kansl2"	chrNC_000081.7	-	98420505	98422593	98422441	98422593	98418198	98418306
747	"gene-Inava"	"Inava"	chrNC_000067.7	-	136160458	136161857	136161640	136161857	136155251	136155315
750	"gene-Zfp575"	"Zfp575"	chrNC_000073.7	-	24286875	24287049	24286945	24287049	24286078	24286242
776	"gene-Ccdc9"	"Ccdc9"	chrNC_000073.7	-	16018149	16018300	16018195	16018300	16016281	16016530
783	"gene-Rps6kb1"	"Rps6kb1"	chrNC_000077.7	-	86407569	86408075	86408058	86408075	86406916	86407017
826	"gene-Bicd1"	"Bicd1"	chrNC_000072.7	+	149420403	149420721	149420403	149420611	149421878	149422044
827	"gene-Amn1"	"Amn1"	chrNC_000072.7	-	149070800	149071002	149070945	149071002	149059078	149059329
830	"gene-Amn1"	"Amn1"	chrNC_000072.7	-	149089969	149090193	149090103	149090193	149072330	149072548
831	"gene-Amn1"	"Amn1"	chrNC_000072.7	-	149089969	149090193	149090103	149090193	149084891	149085036
832	"gene-Amn1"	"Amn1"	chrNC_000072.7	-	149089733	149090193	149089969	149090193	149084963	149085036
833	"gene-Amn1"	"Amn1"	chrNC_000072.7	-	149089733	149090193	149090103	149090193	149084963	149085036
869	"gene-Lmo3"	"Lmo3"	chrNC_000072.7	-	138399438	138399886	138399726	138399886	138393412	138393626
876	"gene-Smug1"	"Smug1"	chrNC_000081.7	-	103071698	103073138	103072962	103073138	103066583	103066654
888	"gene-Ifi44"	"Ifi44"	chrNC_000069.7	-	151454781	151455281	151455136	151455281	151453254	151453291
890	"gene-Fam219a"	"Fam219a"	chrNC_000070.7	-	41524314	41524414	41524365	41524414	41523914	41523988
898	"gene-Sh3gl3"	"Sh3gl3"	chrNC_000073.7	+	81917487	81919005	81917487	81917560	81919987	81920124
932	"gene-Wiz"	"Wiz"	chrNC_000083.7	-	32600029	32600130	32600057	32600130	32595496	32597472
949	"gene-Stx3"	"Stx3"	chrNC_000085.7	-	11760163	11760500	11760389	11760500	11758930	11759044
953	"gene-Bcl2l13"	"Bcl2l13"	chrNC_000072.7	+	120825416	120825577	120825416	120825512	120842528	120842685
954	"gene-Bcl2l13"	"Bcl2l13"	chrNC_000072.7	+	120825416	120825577	120825416	120825512	120847726	120847796
959	"gene-Ccdc77"	"Ccdc77"	chrNC_000072.7	-	120328618	120328682	120328654	120328682	120327167	120327351
963	"gene-Atxn2l"	"Atxn2l"	chrNC_000073.7	-	126091929	126092173	126091983	126092173	126090879	126091387
966	"gene-Atxn2l"	"Atxn2l"	chrNC_000073.7	-	126096377	126096536	126096425	126096536	126095608	126095818
975	"gene-Zfp637"	"Zfp637"	chrNC_000072.7	+	117818164	117818358	117818164	117818229	117818968	117819075
988	"gene-Gm17250"	"Gm17250"	chrNC_000068.8	-	71577847	71579276	71579212	71579276	71573802	71573969
999	"gene-Rprd1a"	"Rprd1a"	chrNC_000084.7	-	24639886	24640066	24639890	24640066	24638406	24638567
1035	"gene-Ap5m1"	"Ap5m1"	chrNC_000080.7	+	49311005	49311651	49311005	49311199	49316151	49316379
1036	"gene-Ap5m1"	"Ap5m1"	chrNC_000080.7	+	49311005	49311651	49311005	49311199	49317692	49317832
1038	"gene-Abtb1"	"Abtb1"	chrNC_000072.7	-	88817819	88817882	88817854	88817882	88816608	88816753
1057	"gene-Gm15624"	"Gm15624"	chrNC_000072.7	-	83148589	83149755	83149489	83149755	83142524	83143620
1079	"gene-Garin5a"	"Garin5a"	chrNC_000073.7	+	44146018	44146457	44146018	44146154	44149573	44149862
1080	"gene-Garin5a"	"Garin5a"	chrNC_000073.7	+	44146338	44146488	44146338	44146457	44149573	44149862
1094	"gene-Akap9"	"Akap9"	chrNC_000071.7	+	4095897	4096959	4095897	4096941	4099534	4099672
1100	"gene-Xntrpc"	"Xntrpc"	chrNC_000073.7	+	101731247	101731648	101731247	101731353	101732179	101732225
1111	"gene-Psg16"	"Psg16"	chrNC_000073.7	+	16807937	16808225	16807937	16808221	16817491	16822126
1128	"gene-Srgap2"	"Srgap2"	chrNC_000067.7	-	131220258	131224937	131224057	131224937	131214229	131217478
1137	"gene-Leng8"	"Leng8"	chrNC_000073.7	+	4140042	4140150	4140042	4140121	4142417	4142589
1148	"gene-Ccdc106"	"Ccdc106"	chrNC_000073.7	+	5059712	5059865	5059712	5059796	5062494	5062704
1149	"gene-Ccdc106"	"Ccdc106"	chrNC_000073.7	+	5059712	5059966	5059712	5059796	5062494	5062704
1150	"gene-Ccdc106"	"Ccdc106"	chrNC_000073.7	+	5059712	5060658	5059712	5059796	5062494	5062704
1151	"gene-Ccdc106"	"Ccdc106"	chrNC_000073.7	+	5059712	5059966	5059712	5059865	5062494	5062704
1152	"gene-Ccdc106"	"Ccdc106"	chrNC_000073.7	+	5059712	5060658	5059712	5059865	5062494	5062704
1153	"gene-Ccdc106"	"Ccdc106"	chrNC_000073.7	+	5059712	5060658	5059712	5059966	5062494	5062704
1166	"gene-Tmem176b"	"Tmem176b"	chrNC_000072.7	-	48817929	48818308	48818281	48818308	48813160	48813271
1228	"gene-Luc7l2"	"Luc7l2"	chrNC_000072.7	+	38531914	38532171	38531914	38531998	38534234	38536239
1229	"gene-Luc7l2"	"Luc7l2"	chrNC_000072.7	+	38531914	38532171	38531914	38531998	38534786	38535010
1231	"gene-Luc7l2"	"Luc7l2"	chrNC_000072.7	+	38531914	38535010	38531914	38531998	38542589	38542657
1247	"gene-Agbl3"	"Agbl3"	chrNC_000072.7	+	34775128	34775267	34775128	34775256	34776072	34776179
1248	"gene-Zfp646"	"Zfp646"	chrNC_000073.7	+	127476080	127476384	127476080	127476295	127477074	127477279
1253	"gene-Ankrd29"	"Ankrd29"	chrNC_000084.7	-	12428920	12429046	12428935	12429046	12415359	12415458
1260	"gene-Kcp"	"Kcp"	chrNC_000072.7	-	29489027	29489152	29489031	29489152	29487179	29487279
1280	"gene-Met"	"Met"	chrNC_000072.7	+	17571370	17571511	17571370	17571507	17571611	17573979
1299	"gene-Ppp1r9a"	"Ppp1r9a"	chrNC_000072.7	+	5134016	5134932	5134016	5134174	5143227	5143315
1300	"gene-Pcgf6"	"Pcgf6"	chrNC_000085.7	-	47036542	47036602	47036546	47036602	47036408	47036442
1302	"gene-Med1"	"Med1"	chrNC_000077.7	-	98046002	98049295	98049154	98049295	98042979	98045075
1326	"gene-Adam11"	"Adam11"	chrNC_000077.7	+	102662740	102662938	102662740	102662807	102663280	102663355
1329	"gene-Map6"	"Map6"	chrNC_000073.7	+	98969705	98970492	98969705	98969791	98985191	98986344
1340	"gene-Ankrd45"	"Ankrd45"	chrNC_000067.7	+	160970222	160970410	160970222	160970288	160982815	160982983
1355	"gene-Pms2"	"Pms2"	chrNC_000071.7	+	143903920	143904442	143903920	143904064	143913864	143913984
1357	"gene-Aimp2"	"Aimp2"	chrNC_000071.7	-	143846398	143846657	143846518	143846657	143841382	143841614
1360	"gene-Zfp853"	"Zfp853"	chrNC_000071.7	-	143277969	143278104	143277981	143278104	143277091	143277214
1365	"gene-Zfp12"	"Zfp12"	chrNC_000071.7	+	143225708	143225857	143225708	143225835	143229816	143233708
1367	"gene-Zfp12"	"Zfp12"	chrNC_000071.7	+	143225708	143225905	143225708	143225857	143229816	143233708
