ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"gene-Gm21748"	"Gm21748"	chrNC_000087.8	-	90850932	90851805	90851645	90851805	90850045	90850655
1	"gene-Gm21114"	"Gm21114"	chrNC_000087.8	-	67352539	67352683	67352651	67352683	67350317	67351421
2	"gene-Uty"	"Uty"	chrNC_000087.8	-	1136274	1136996	1136847	1136996	1134871	1134986
3	"gene-Uty"	"Uty"	chrNC_000087.8	-	1245406	1245737	1245512	1245737	1245155	1245219
4	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1016990	1017102	1016990	1017095	1017363	1017508
5	"gene-Eif2s3y"	"Eif2s3y"	chrNC_000087.8	+	1034961	1035192	1034961	1035028	1046771	1049136
6	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168099541	168100143	168099991	168100143	168098597	168098717
7	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103110	168103361	168102433	168102511
8	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103170	168103361	168102433	168102511
9	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168103110	168103361	168103170	168103361	168102433	168102511
10	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168102971	168103361	168102433	168102586
11	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168103110	168103361	168102433	168102586
12	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102778	168103361	168103170	168103361	168102433	168102586
13	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103110	168103361	168102433	168102586
14	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168102971	168103361	168103170	168103361	168102433	168102586
15	"gene-Hccs"	"Hccs"	chrNC_000086.8	-	168103110	168103361	168103170	168103361	168102433	168102586
16	"gene-Prps2"	"Prps2"	chrNC_000086.8	-	166156989	166157182	166156998	166157182	166148114	166148213
17	"gene-Prps2"	"Prps2"	chrNC_000086.8	-	166156989	166157182	166156998	166157182	166150379	166155578
